pdb_id,resolution,year,assay_type,comparison_sign,value_raw,unit_raw,value_M,value_nM,p_value,log10_nM,ligand_id,ligand_path,pocket_path,comment
2y6p,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/2y6p_1/ligand.sdf,src/data/scPDB 2/2y6p_1/site.mol2,bindingdb_scpdb
2o48,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/2o48_1/ligand.sdf,src/data/scPDB 2/2o48_1/site.mol2,bindingdb_scpdb
3cv6,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3cv6_2/ligand.sdf,src/data/scPDB 2/3cv6_2/site.mol2,bindingdb_scpdb
4xxb,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4xxb_1/ligand.sdf,src/data/scPDB 2/4xxb_1/site.mol2,bindingdb_scpdb
3kfp,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3kfp_1/ligand.sdf,src/data/scPDB 2/3kfp_1/site.mol2,bindingdb_scpdb
2wme,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/2wme_5/ligand.sdf,src/data/scPDB 2/2wme_5/site.mol2,bindingdb_scpdb
1rje,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1rje_2/ligand.sdf,src/data/scPDB 2/1rje_2/site.mol2,bindingdb_scpdb
2qo7,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/2qo7_1/ligand.sdf,src/data/scPDB 2/2qo7_1/site.mol2,bindingdb_scpdb
4h2n,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4h2n_1/ligand.sdf,src/data/scPDB 2/4h2n_1/site.mol2,bindingdb_scpdb
4jnn,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4jnn_1/ligand.sdf,src/data/scPDB 2/4jnn_1/site.mol2,bindingdb_scpdb
4b1h,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4b1h_1/ligand.sdf,src/data/scPDB 2/4b1h_1/site.mol2,bindingdb_scpdb
3mfl,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3mfl_1/ligand.sdf,src/data/scPDB 2/3mfl_1/site.mol2,bindingdb_scpdb
1qip,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/1qip_4/ligand.sdf,src/data/scPDB 2/1qip_4/site.mol2,bindingdb_scpdb
4ewq,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/4ewq_2/ligand.sdf,src/data/scPDB 2/4ewq_2/site.mol2,bindingdb_scpdb
3alj,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3alj_1/ligand.sdf,src/data/scPDB 2/3alj_1/site.mol2,bindingdb_scpdb
3all,,,Ki,=,2580000.0,nM,0.0025800000000000003,2580000.0,2.58838029403677,6.41161970596323,,src/data/scPDB 2/3all_2/ligand.sdf,src/data/scPDB 2/3all_2/site.mol2,bindingdb_scpdb
2cmf,,,Ki,=,210.0,nM,2.1e-07,210.0,6.6777807052660805,2.322219294733919,,src/data/scPDB 2/2cmf_1/ligand.sdf,src/data/scPDB 2/2cmf_1/site.mol2,bindingdb_scpdb
2ckm,,,Ki,=,1.3,nM,1.3e-09,1.3,8.886056647693163,0.11394335230683679,,src/data/scPDB 2/2ckm_1/ligand.sdf,src/data/scPDB 2/2ckm_1/site.mol2,bindingdb_scpdb
2cek,,,Ki,=,250.0,nM,2.5000000000000004e-07,250.0,6.6020599913279625,2.3979400086720375,,src/data/scPDB 2/2cek_1/ligand.sdf,src/data/scPDB 2/2cek_1/site.mol2,bindingdb_scpdb
4fj2,,,Ki,=,12000.0,nM,1.2e-05,12000.0,4.920818753952375,4.079181246047625,,src/data/scPDB 2/4fj2_1/ligand.sdf,src/data/scPDB 2/4fj2_1/site.mol2,bindingdb_scpdb
1gqs,,,Ki,=,700.0,nM,7.000000000000001e-07,700.0,6.154901959985743,2.845098040014257,,src/data/scPDB 2/1gqs_1/ligand.sdf,src/data/scPDB 2/1gqs_1/site.mol2,bindingdb_scpdb
3tvx,,,Ki,=,37000.0,nM,3.7000000000000005e-05,37000.0,4.431798275933005,4.568201724066995,,src/data/scPDB 2/3tvx_1/ligand.sdf,src/data/scPDB 2/3tvx_1/site.mol2,bindingdb_scpdb
1aj0,,,Ki,=,25000.0,nM,2.5e-05,25000.0,4.6020599913279625,4.3979400086720375,,src/data/scPDB 2/1aj0_1/ligand.sdf,src/data/scPDB 2/1aj0_1/site.mol2,bindingdb_scpdb
3l14,,,Ki,=,8400.0,nM,8.400000000000001e-06,8400.0,5.075720713938118,3.9242792860618816,,src/data/scPDB 2/3l14_1/ligand.sdf,src/data/scPDB 2/3l14_1/site.mol2,bindingdb_scpdb
3w6h,,,Ki,=,250.0,nM,2.5000000000000004e-07,250.0,6.6020599913279625,2.3979400086720375,,src/data/scPDB 2/3w6h_1/ligand.sdf,src/data/scPDB 2/3w6h_1/site.mol2,bindingdb_scpdb
4xiw,,,Ki,=,250.0,nM,2.5000000000000004e-07,250.0,6.6020599913279625,2.3979400086720375,,src/data/scPDB 2/4xiw_1/ligand.sdf,src/data/scPDB 2/4xiw_1/site.mol2,bindingdb_scpdb
1rj6,,,Ki,=,250.0,nM,2.5000000000000004e-07,250.0,6.6020599913279625,2.3979400086720375,,src/data/scPDB 2/1rj6_2/ligand.sdf,src/data/scPDB 2/1rj6_2/site.mol2,bindingdb_scpdb
1zsb,,,Ki,=,250.0,nM,2.5000000000000004e-07,250.0,6.6020599913279625,2.3979400086720375,,src/data/scPDB 2/1zsb_1/ligand.sdf,src/data/scPDB 2/1zsb_1/site.mol2,bindingdb_scpdb
2xtk,,,Ki,=,250.0,nM,2.5000000000000004e-07,250.0,6.6020599913279625,2.3979400086720375,,src/data/scPDB 2/2xtk_1/ligand.sdf,src/data/scPDB 2/2xtk_1/site.mol2,bindingdb_scpdb
4k0z,,,Ki,=,50.0,nM,5.0000000000000004e-08,50.0,7.301029995663981,1.6989700043360187,,src/data/scPDB 2/4k0z_1/ligand.sdf,src/data/scPDB 2/4k0z_1/site.mol2,bindingdb_scpdb
4k13,,,Ki,=,50000.0,nM,5e-05,50000.0,4.301029995663981,4.698970004336019,,src/data/scPDB 2/4k13_1/ligand.sdf,src/data/scPDB 2/4k13_1/site.mol2,bindingdb_scpdb
3fw3,,,Ki,=,50000.0,nM,5e-05,50000.0,4.301029995663981,4.698970004336019,,src/data/scPDB 2/3fw3_1/ligand.sdf,src/data/scPDB 2/3fw3_1/site.mol2,bindingdb_scpdb
3csd,,,Ki,=,1850.0,nM,1.85e-06,1850.0,5.732828271596986,3.2671717284030137,,src/data/scPDB 2/3csd_1/ligand.sdf,src/data/scPDB 2/3csd_1/site.mol2,bindingdb_scpdb
3q9x,,,Ki,=,1850.0,nM,1.85e-06,1850.0,5.732828271596986,3.2671717284030137,,src/data/scPDB 2/3q9x_1/ligand.sdf,src/data/scPDB 2/3q9x_1/site.mol2,bindingdb_scpdb
1f0q,,,Ki,=,1850.0,nM,1.85e-06,1850.0,5.732828271596986,3.2671717284030137,,src/data/scPDB 2/1f0q_1/ligand.sdf,src/data/scPDB 2/1f0q_1/site.mol2,bindingdb_scpdb
4hkk,,,Ki,=,740.0,nM,7.4e-07,740.0,6.130768280269024,2.8692317197309762,,src/data/scPDB 2/4hkk_2/ligand.sdf,src/data/scPDB 2/4hkk_2/site.mol2,bindingdb_scpdb
3amy,,,Ki,=,740.0,nM,7.4e-07,740.0,6.130768280269024,2.8692317197309762,,src/data/scPDB 2/3amy_1/ligand.sdf,src/data/scPDB 2/3amy_1/site.mol2,bindingdb_scpdb
3bpt,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/3bpt_1/ligand.sdf,src/data/scPDB 2/3bpt_1/site.mol2,bindingdb_scpdb
2hck,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/2hck_2/ligand.sdf,src/data/scPDB 2/2hck_2/site.mol2,bindingdb_scpdb
4lmu,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/4lmu_1/ligand.sdf,src/data/scPDB 2/4lmu_1/site.mol2,bindingdb_scpdb
5fli,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/5fli_7/ligand.sdf,src/data/scPDB 2/5fli_7/site.mol2,bindingdb_scpdb
3bxx,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/3bxx_6/ligand.sdf,src/data/scPDB 2/3bxx_6/site.mol2,bindingdb_scpdb
1gp6,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/1gp6_1/ligand.sdf,src/data/scPDB 2/1gp6_1/site.mol2,bindingdb_scpdb
1e8w,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/1e8w_1/ligand.sdf,src/data/scPDB 2/1e8w_1/site.mol2,bindingdb_scpdb
5a4v,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/5a4v_2/ligand.sdf,src/data/scPDB 2/5a4v_2/site.mol2,bindingdb_scpdb
2uxh,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/2uxh_1/ligand.sdf,src/data/scPDB 2/2uxh_1/site.mol2,bindingdb_scpdb
2jj2,,,Ki,=,1180.0,nM,1.1800000000000001e-06,1180.0,5.928117992693874,3.0718820073061255,,src/data/scPDB 2/2jj2_6/ligand.sdf,src/data/scPDB 2/2jj2_6/site.mol2,bindingdb_scpdb
3oho,,,Ki,=,30.0,nM,3.0000000000000004e-08,30.0,7.522878745280337,1.4771212547196624,,src/data/scPDB 2/3oho_1/ligand.sdf,src/data/scPDB 2/3oho_1/site.mol2,bindingdb_scpdb
1i8z,,,Ki,=,0.15,nM,1.5e-10,0.15,9.823908740944319,-0.8239087409443188,,src/data/scPDB 2/1i8z_1/ligand.sdf,src/data/scPDB 2/1i8z_1/site.mol2,bindingdb_scpdb
1bnm,,,Kd,=,0.1,nM,1.0000000000000002e-10,0.1,10.0,-1.0,,src/data/scPDB 2/1bnm_1/ligand.sdf,src/data/scPDB 2/1bnm_1/site.mol2,bindingdb_scpdb
5jad,,,Kd,=,4030.0,nM,4.03e-06,4030.0,5.39469495385889,3.6053050461411096,,src/data/scPDB 2/5jad_1/ligand.sdf,src/data/scPDB 2/5jad_1/site.mol2,bindingdb_scpdb
2jnp,,,Ki,=,133.0,nM,1.33e-07,133.0,6.876148359032914,2.123851640967086,,src/data/scPDB 2/2jnp_1/ligand.sdf,src/data/scPDB 2/2jnp_1/site.mol2,bindingdb_scpdb
4g9l,,,Ki,=,133.0,nM,1.33e-07,133.0,6.876148359032914,2.123851640967086,,src/data/scPDB 2/4g9l_1/ligand.sdf,src/data/scPDB 2/4g9l_1/site.mol2,bindingdb_scpdb
2jsd,,,Ki,=,133.0,nM,1.33e-07,133.0,6.876148359032914,2.123851640967086,,src/data/scPDB 2/2jsd_1/ligand.sdf,src/data/scPDB 2/2jsd_1/site.mol2,bindingdb_scpdb
3qlg,,,Kd,=,0.5,nM,5e-10,0.5,9.301029995663981,-0.3010299956639812,,src/data/scPDB 2/3qlg_2/ligand.sdf,src/data/scPDB 2/3qlg_2/site.mol2,bindingdb_scpdb
4xli,,,Kd,=,0.5,nM,5e-10,0.5,9.301029995663981,-0.3010299956639812,,src/data/scPDB 2/4xli_1/ligand.sdf,src/data/scPDB 2/4xli_1/site.mol2,bindingdb_scpdb
3oht,,,Kd,=,0.5,nM,5e-10,0.5,9.301029995663981,-0.3010299956639812,,src/data/scPDB 2/3oht_2/ligand.sdf,src/data/scPDB 2/3oht_2/site.mol2,bindingdb_scpdb
2y6o,,,Kd,=,0.5,nM,5e-10,0.5,9.301029995663981,-0.3010299956639812,,src/data/scPDB 2/2y6o_1/ligand.sdf,src/data/scPDB 2/2y6o_1/site.mol2,bindingdb_scpdb
2gqg,,,Kd,=,0.5,nM,5e-10,0.5,9.301029995663981,-0.3010299956639812,,src/data/scPDB 2/2gqg_1/ligand.sdf,src/data/scPDB 2/2gqg_1/site.mol2,bindingdb_scpdb
4qms,,,Kd,=,0.5,nM,5e-10,0.5,9.301029995663981,-0.3010299956639812,,src/data/scPDB 2/4qms_1/ligand.sdf,src/data/scPDB 2/4qms_1/site.mol2,bindingdb_scpdb
2hzi,,,Kd,=,1.0,nM,1e-09,1.0,9.0,0.0,,src/data/scPDB 2/2hzi_1/ligand.sdf,src/data/scPDB 2/2hzi_1/site.mol2,bindingdb_scpdb
1lqd,,,Ki,=,9.0,nM,9.000000000000001e-09,9.0,8.045757490560675,0.9542425094393249,,src/data/scPDB 2/1lqd_1/ligand.sdf,src/data/scPDB 2/1lqd_1/site.mol2,bindingdb_scpdb
3tku,,,Ki,=,530.0,nM,5.3e-07,530.0,6.275724130399211,2.724275869600789,,src/data/scPDB 2/3tku_1/ligand.sdf,src/data/scPDB 2/3tku_1/site.mol2,bindingdb_scpdb
2ohl,,,Ki,=,220000.0,nM,0.00022,220000.0,3.6575773191777934,5.342422680822207,,src/data/scPDB 2/2ohl_1/ligand.sdf,src/data/scPDB 2/2ohl_1/site.mol2,bindingdb_scpdb
3qyo,,,Ki,=,1200000.0,nM,0.0012000000000000001,1200000.0,2.920818753952375,6.079181246047625,,src/data/scPDB 2/3qyo_1/ligand.sdf,src/data/scPDB 2/3qyo_1/site.mol2,bindingdb_scpdb
1tbb,,,Ki,=,7940.0,nM,7.94e-06,7940.0,5.100179497572904,3.8998205024270964,,src/data/scPDB 2/1tbb_1/ligand.sdf,src/data/scPDB 2/1tbb_1/site.mol2,bindingdb_scpdb
2wey,,,Ki,=,17.0,nM,1.7e-08,17.0,7.769551078621726,1.2304489213782739,,src/data/scPDB 2/2wey_1/ligand.sdf,src/data/scPDB 2/2wey_1/site.mol2,bindingdb_scpdb
3o8t,,,Kd,=,1160.0,nM,1.1600000000000001e-06,1160.0,5.935542010773082,3.0644579892269186,,src/data/scPDB 2/3o8t_1/ligand.sdf,src/data/scPDB 2/3o8t_1/site.mol2,bindingdb_scpdb
3o8u,,,Kd,=,1160.0,nM,1.1600000000000001e-06,1160.0,5.935542010773082,3.0644579892269186,,src/data/scPDB 2/3o8u_1/ligand.sdf,src/data/scPDB 2/3o8u_1/site.mol2,bindingdb_scpdb
1e90,,,Kd,=,170.0,nM,1.7000000000000001e-07,170.0,6.769551078621726,2.230448921378274,,src/data/scPDB 2/1e90_1/ligand.sdf,src/data/scPDB 2/1e90_1/site.mol2,bindingdb_scpdb
3c1t,,,Kd,=,170.0,nM,1.7000000000000001e-07,170.0,6.769551078621726,2.230448921378274,,src/data/scPDB 2/3c1t_8/ligand.sdf,src/data/scPDB 2/3c1t_8/site.mol2,bindingdb_scpdb
1uh5,,,Ki,=,220.0,nM,2.2e-07,220.0,6.657577319177793,2.342422680822206,,src/data/scPDB 2/1uh5_2/ligand.sdf,src/data/scPDB 2/1uh5_2/site.mol2,bindingdb_scpdb
2b35,,,Ki,=,220.0,nM,2.2e-07,220.0,6.657577319177793,2.342422680822206,,src/data/scPDB 2/2b35_4/ligand.sdf,src/data/scPDB 2/2b35_4/site.mol2,bindingdb_scpdb
3nrc,,,Ki,=,220.0,nM,2.2e-07,220.0,6.657577319177793,2.342422680822206,,src/data/scPDB 2/3nrc_2/ligand.sdf,src/data/scPDB 2/3nrc_2/site.mol2,bindingdb_scpdb
3am3,,,Ki,=,220.0,nM,2.2e-07,220.0,6.657577319177793,2.342422680822206,,src/data/scPDB 2/3am3_2/ligand.sdf,src/data/scPDB 2/3am3_2/site.mol2,bindingdb_scpdb
3am5,,,Ki,=,220.0,nM,2.2e-07,220.0,6.657577319177793,2.342422680822206,,src/data/scPDB 2/3am5_2/ligand.sdf,src/data/scPDB 2/3am5_2/site.mol2,bindingdb_scpdb
4w9n,,,Ki,=,220.0,nM,2.2e-07,220.0,6.657577319177793,2.342422680822206,,src/data/scPDB 2/4w9n_6/ligand.sdf,src/data/scPDB 2/4w9n_6/site.mol2,bindingdb_scpdb
2b36,,,Ki,=,11.8,nM,1.1800000000000001e-08,11.8,7.928117992693874,1.0718820073061255,,src/data/scPDB 2/2b36_1/ligand.sdf,src/data/scPDB 2/2b36_1/site.mol2,bindingdb_scpdb
2b37,,,Ki,=,1.1,nM,1.1000000000000001e-09,1.1,8.958607314841775,0.04139268515822508,,src/data/scPDB 2/2b37_6/ligand.sdf,src/data/scPDB 2/2b37_6/site.mol2,bindingdb_scpdb
1az1,,,Ki,=,2000.0,nM,2.0000000000000003e-06,2000.0,5.698970004336019,3.3010299956639813,,src/data/scPDB 2/1az1_2/ligand.sdf,src/data/scPDB 2/1az1_2/site.mol2,bindingdb_scpdb
2ine,,,Ki,=,96000.0,nM,9.6e-05,96000.0,4.017728766960432,4.982271233039568,,src/data/scPDB 2/2ine_1/ligand.sdf,src/data/scPDB 2/2ine_1/site.mol2,bindingdb_scpdb
1k5q,,,Ki,=,96000.0,nM,9.6e-05,96000.0,4.017728766960432,4.982271233039568,,src/data/scPDB 2/1k5q_1/ligand.sdf,src/data/scPDB 2/1k5q_1/site.mol2,bindingdb_scpdb
2isf,,,Ki,=,96000.0,nM,9.6e-05,96000.0,4.017728766960432,4.982271233039568,,src/data/scPDB 2/2isf_1/ligand.sdf,src/data/scPDB 2/2isf_1/site.mol2,bindingdb_scpdb
1pnl,,,Ki,=,96000.0,nM,9.6e-05,96000.0,4.017728766960432,4.982271233039568,,src/data/scPDB 2/1pnl_1/ligand.sdf,src/data/scPDB 2/1pnl_1/site.mol2,bindingdb_scpdb
2inz,,,Ki,=,3500.0,nM,3.5000000000000004e-06,3500.0,5.455931955649724,3.5440680443502757,,src/data/scPDB 2/2inz_1/ligand.sdf,src/data/scPDB 2/2inz_1/site.mol2,bindingdb_scpdb
3nz4,,,Ki,=,280000.0,nM,0.00028000000000000003,280000.0,3.5528419686577806,5.447158031342219,,src/data/scPDB 2/3nz4_2/ligand.sdf,src/data/scPDB 2/3nz4_2/site.mol2,bindingdb_scpdb
2iq0,,,Ki,=,68600.0,nM,6.86e-05,68600.0,4.163675884293248,4.836324115706752,,src/data/scPDB 2/2iq0_1/ligand.sdf,src/data/scPDB 2/2iq0_1/site.mol2,bindingdb_scpdb
1wor,,,Ki,=,950.0,nM,9.5e-07,950.0,6.022276394711152,2.9777236052888476,,src/data/scPDB 2/1wor_1/ligand.sdf,src/data/scPDB 2/1wor_1/site.mol2,bindingdb_scpdb
2pix,,,Ki,=,140.0,nM,1.4e-07,140.0,6.853871964321762,2.146128035678238,,src/data/scPDB 2/2pix_1/ligand.sdf,src/data/scPDB 2/2pix_1/site.mol2,bindingdb_scpdb
1s2c,,,Ki,=,140.0,nM,1.4e-07,140.0,6.853871964321762,2.146128035678238,,src/data/scPDB 2/1s2c_1/ligand.sdf,src/data/scPDB 2/1s2c_1/site.mol2,bindingdb_scpdb
